totalnopforkeyword,keywordname,score,matches,keywordid,exactsuggestedbidmedian,avggiveaway,exactavgcpc,exactsearchvolume,estimatedbroadsearchvolume,keywordcountry,quarterlytrend,estimatedavggiveaway,easeofrankingscore,broadsearchvolume,broadsuggestedbidmedian,keywordcategory,monthlytrend,broadavgcpc,estimatedexactsearchvolume,keyword_url,hasupdatedsearchvolume,hasupdatedcpc,organicproductcount,sponsoredproductcount,im1,im2,im3,im4,im5,im6
7,olay mask,59.177322,13.3009473499,us/olay mask,1.21,68.0,,1266.0,4460.0,us,16.0,68.0,95.0,4460.0,1.3900000000000001,Beauty & Personal Care,35.0,,1266.0,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=olay%20mask,True,True,85.0,24.0,https://m.media-amazon.com/images/I/81bauee2HML._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81AeQrx4lbL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/616RRO6mqcL._AC_UY218_.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3Ax9C0XV286op6qq-kXrqOp6W1f-uHDXZ3cGiWkYbfD6wMqDuWYyE8HxD4g4&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaF_Zzsqr_VXaySTHxwHqetr6DBvDLAqoK_V38CAO_Yg_r1d_6lTb-oqV0ww&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-gh8P2rViZ5O86s61CmbQtA5Fp_cSJqOIt_Xtrp-uQFS3tVQjMbs0Beufdw&s
8,ring compatible devices,45.1998,25.2698250622,us/ring compatible devices,1.04,17.0,,1432.0,1718.0,us,23.0,17.0,100.0,1718.0,0.86,Cell Phones & Accessories,5.0,,1432.0,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=ring%20compatible%20devices,True,False,6000.0,18.0,https://m.media-amazon.com/images/I/716neMnDXXL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61drXb4PZ4L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/41jcFzbBRXL._AC_UY218_.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXPPgf4uy7-vVa0G5Nv1Fd62OgXWooWpaLOpRLozsbR-x8__dHaRNp38-uTVo&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBPNTC61vgLLeo9Jq0MijcZcYze4VU3lvJnmscsY8s97T9hdN-8e8xB2cPaCw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQL7mJ3RwZTohxhGyN-WBhG7gUZZUMb34AZ286XLAq7c-quNxNU5ZvVRSSO-vY&s
8,face bleaching cream,51.34414,10.7470767859,us/face bleaching cream,3.07,34.0,,1026.0,2255.0,us,181.0,34.0,100.0,2255.0,2.33,Beauty & Personal Care,32.0,,1026.0,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=face%20bleaching%20cream,True,True,878.0,32.0,https://m.media-amazon.com/images/I/71rGyfvqNvL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71AJoDOrUBL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/41YaCD-7pWL._AC_UY218_.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6O8upylAb89zzAC9fCJx0o4rPirMHjikm6ZatjCbPiHOpo2l_WMNIWEjpJA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSxg5YGCdR9cq4zZ15D0pqbf6Dp-8XwM6ihXwvB94piIWICSusmiZ3N-p2kKY&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU3HELbM-OE5i81BOz6T0CFcXkZfEUHHagJlkUQGDMFpy1rKL-sphGvAap7yQ&s
